"시점","월별","시간별",숙박업,통신업,연구개발업
"2021","10월","24시",1046,958,865
"2021","11월","1시",992,951,835
"2021","11월","2시",926,942,827
"2021","11월","3시",880,937,827
"2021","11월","4시",858,934,825
"2021","11월","5시",864,933,827
"2021","11월","6시",900,941,845
"2021","11월","7시",947,963,902
"2021","11월","8시",974,995,992
"2021","11월","9시",987,1039,1097
"2021","11월","10시",991,1058,1189
"2021","11월","11시",993,1059,1191
"2021","11월","12시",980,1058,1182
"2021","11월","13시",977,1055,1170
"2021","11월","14시",975,1055,1187
"2021","11월","15시",974,1049,1194
"2021","11월","16시",987,1050,1193
"2021","11월","17시",1018,1049,1183
"2021","11월","18시",1092,1044,1099
"2021","11월","19시",1131,1019,992
"2021","11월","20시",1133,996,938
"2021","11월","21시",1123,983,923
"2021","11월","22시",1103,973,891
"2021","11월","23시",1091,963,842
"2021","11월","24시",1104,956,848
"2021","12월","1시",1006,939,816
"2021","12월","2시",951,927,809
"2021","12월","3시",909,922,810
"2021","12월","4시",887,921,810
"2021","12월","5시",887,921,814
"2021","12월","6시",917,930,833
"2021","12월","7시",958,955,895
"2021","12월","8시",980,1000,1001
"2021","12월","9시",990,1062,1139
"2021","12월","10시",992,1085,1250
"2021","12월","11시",992,1077,1242
"2021","12월","12시",976,1073,1217
"2021","12월","13시",968,1066,1193
"2021","12월","14시",963,1067,1203
"2021","12월","15시",966,1063,1201
"2021","12월","16시",983,1063,1195
"2021","12월","17시",1020,1060,1181
"2021","12월","18시",1090,1051,1099
"2021","12월","19시",1119,1012,977
"2021","12월","20시",1115,985,914
"2021","12월","21시",1103,970,898
"2021","12월","22시",1078,960,865
"2021","12월","23시",1066,951,817
"2021","12월","24시",1084,943,822
