date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2020-04-25,0,0,0,0,0,0,480000,2371200,5068800,7440000,9244800,10435200,10944000,10656000,9619200,7747200,5193600,2496000,624000,0,0,0,0,0
2020-04-26,0,0,0,0,0,0,576000,2620800,5356800,8044800,9897600,11088000,11548800,11299200,10128000,8256000,5721600,2476800,604800,0,0,0,0,0
2020-04-27,0,0,0,0,0,0,508800,2601600,5500800,8208000,9984000,10963200,10886400,10483200,9878400,8313600,5712000,2784000,614400,9600,0,0,0,0
2020-04-28,0,0,0,0,0,0,345600,2092800,5395200,7785600,9657600,10675200,11059200,10752000,9705600,7996800,5568000,2764800,595200,9600,0,0,0,0
2020-04-29,0,0,0,0,0,0,537600,2726400,5520000,7776000,9369600,10454400,10742400,10454400,9561600,7996800,5664000,2851200,585600,0,0,0,0,0
2020-04-30,0,0,0,0,0,0,556800,2745600,5472000,7190400,9561600,9052800,8208000,6470400,6393600,6316800,2956800,1430400,268800,0,0,0,0,0
2020-05-01,0,0,0,0,0,0,115200,739200,1910400,5049600,7670400,8534400,6009600,4617600,6672000,6566400,2121600,1276800,451200,0,0,0,0,0
2020-05-02,0,0,0,0,0,0,355200,1910400,3984000,3561600,3244800,2035200,2313600,2342400,1459200,1440000,2649600,931200,153600,0,0,0,0,0
2020-05-03,0,0,0,0,0,0,0,0,345600,3648000,2832000,2505600,1920000,4560000,6470400,998400,595200,211200,153600,0,0,0,0,0
2020-05-04,0,0,0,0,0,0,489600,1766400,2438400,5510400,9254400,9955200,10387200,9772800,8985600,7766400,5433600,2620800,624000,19200,0,0,0,0
2020-05-05,0,0,0,0,0,0,489600,2179200,3331200,3475200,6547200,6643200,4838400,5116800,3888000,4108800,3532800,1718400,432000,9600,0,0,0,0
2020-05-06,0,0,0,0,0,0,614400,2304000,5424000,7852800,9513600,10444800,10800000,10608000,9552000,7785600,5462400,2745600,672000,28800,0,0,0,0
2020-05-07,0,0,0,0,0,0,748800,2793600,5913600,8284800,10051200,10924800,11260800,10838400,9724800,7977600,5913600,2793600,796800,9600,0,0,0,0
2020-05-08,0,0,0,0,0,9600,556800,3072000,4934400,7891200,9456000,9168000,10809600,8256000,6892800,4982400,2928000,643200,19200,0,0,0,0,0
2020-05-09,0,0,0,0,0,0,9600,192000,451200,432000,681600,960000,1440000,3024000,7036800,5328000,2976000,1449600,259200,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,38400,326400,1171200,1286400,2467200,2054400,2822400,2121600,3993600,5366400,2572800,2131200,739200,28800,0,0,0,0
2020-05-11,0,0,0,0,0,0,422400,2121600,4992000,7939200,9686400,10752000,10972800,10502400,9590400,7862400,5539200,2601600,806400,0,0,0,0,0
2020-05-12,0,0,0,0,0,9600,710400,2928000,5606400,7958400,9475200,10185600,10339200,9571200,8217600,6585600,4934400,2668800,768000,28800,0,0,0,0
2020-05-13,0,0,0,0,0,28800,739200,3052800,5875200,8140800,9705600,10828800,11203200,10924800,9955200,8160000,5712000,2908800,748800,28800,0,0,0,0
2020-05-14,0,0,0,0,0,19200,892800,2169600,4243200,6873600,6729600,7651200,6297600,7526400,7766400,6537600,3820800,1804800,614400,19200,0,0,0,0
