,date,load,workday
330,2023-09-01 10:30:00,58.62,1
331,2023-09-01 10:45:00,58.81,1
332,2023-09-01 11:00:00,59.22,1
333,2023-09-01 11:15:00,63.18,1
334,2023-09-01 11:30:00,61.93,1
335,2023-09-01 11:45:00,62.43,1
336,2023-09-01 12:00:00,61.48,1
337,2023-09-01 12:15:00,61.6,1
338,2023-09-01 12:30:00,61.51,1
339,2023-09-01 12:45:00,61.52,1
340,2023-09-01 13:00:00,61.65,1
341,2023-09-01 13:15:00,61.39,1
342,2023-09-01 13:30:00,61.38,1
343,2023-09-01 13:45:00,61.49,1
344,2023-09-01 14:00:00,61.64,1
345,2023-09-01 14:15:00,62.53,1
346,2023-09-01 14:30:00,61.63,1
347,2023-09-01 14:45:00,62.14,1
348,2023-09-01 15:00:00,61.95,1
349,2023-09-01 15:15:00,61.62,1
350,2023-09-01 15:30:00,61.5,1
351,2023-09-01 15:45:00,61.5,1
352,2023-09-01 16:00:00,61.5,1
353,2023-09-01 16:15:00,61.19,1
354,2023-09-01 16:30:00,61.05,1
355,2023-09-01 16:45:00,61.02,1
356,2023-09-01 17:00:00,60.9,1
357,2023-09-01 17:15:00,56.49,1
358,2023-09-01 17:30:00,56.04,1
359,2023-09-01 17:45:00,56.36,1
360,2023-09-01 18:00:00,55.99,1
361,2023-09-01 18:15:00,51.1,1
362,2023-09-01 18:30:00,50.79,1
363,2023-09-01 18:45:00,50.62,1
364,2023-09-01 19:00:00,50.46,1
365,2023-09-01 19:15:00,48.06,1
366,2023-09-01 19:30:00,48.0,1
367,2023-09-01 19:45:00,47.72,1
368,2023-09-01 20:00:00,47.85,1
369,2023-09-01 20:15:00,44.51,1
370,2023-09-01 20:30:00,44.08,1
371,2023-09-01 20:45:00,42.68,1
372,2023-09-01 21:00:00,42.82,1
373,2023-09-01 21:15:00,33.53,1
374,2023-09-01 21:30:00,33.08,1
375,2023-09-01 21:45:00,33.7,1
376,2023-09-01 22:00:00,32.89,1
377,2023-09-01 22:15:00,24.05,1
378,2023-09-01 22:30:00,23.34,1
379,2023-09-01 22:45:00,23.65,1
380,2023-09-01 23:00:00,23.61,1
381,2023-09-01 23:15:00,15.09,1
382,2023-09-01 23:30:00,14.83,1
383,2023-09-01 23:45:00,14.61,1
384,2023-09-02 00:00:00,14.67,0
385,2023-09-02 00:15:00,11.6,0
386,2023-09-05 13:15:00,60.53,1
387,2023-09-05 13:30:00,61.43,1
388,2023-09-05 13:45:00,61.51,1
389,2023-09-05 14:00:00,61.71,1
390,2023-09-05 14:15:00,62.23,1
391,2023-09-05 14:30:00,60.6,1
392,2023-09-05 14:45:00,62.25,1
393,2023-09-05 15:00:00,62.98,1
394,2023-09-05 15:15:00,61.96,1
395,2023-09-05 15:30:00,62.13,1
396,2023-09-05 15:45:00,61.67,1
397,2023-09-05 16:00:00,61.99,1
398,2023-09-05 16:15:00,61.49,1
399,2023-09-05 16:30:00,61.58,1
400,2023-09-05 16:45:00,61.55,1
401,2023-09-05 17:00:00,61.45,1
402,2023-09-05 17:15:00,56.61,1
403,2023-09-05 17:30:00,56.33,1
404,2023-09-05 17:45:00,56.43,1
405,2023-09-05 18:00:00,56.49,1
406,2023-09-05 18:15:00,50.99,1
407,2023-09-05 18:30:00,51.18,1
408,2023-09-05 18:45:00,51.11,1
409,2023-09-05 19:00:00,50.94,1
410,2023-09-05 19:15:00,48.68,1
411,2023-09-05 19:30:00,48.68,1
412,2023-09-05 19:45:00,48.6,1
413,2023-09-05 20:00:00,48.66,1
414,2023-09-05 20:15:00,46.84,1
415,2023-09-05 20:30:00,45.12,1
416,2023-09-05 20:45:00,45.12,1
417,2023-09-05 21:00:00,45.22,1
418,2023-09-05 21:15:00,35.41,1
419,2023-09-05 21:30:00,33.9,1
420,2023-09-05 21:45:00,34.07,1
421,2023-09-05 22:00:00,33.38,1
422,2023-09-05 22:15:00,25.51,1
423,2023-09-05 22:30:00,25.44,1
424,2023-09-05 22:45:00,25.58,1
425,2023-09-05 23:00:00,24.69,1
426,2023-09-05 23:15:00,16.5,1
427,2023-09-05 23:30:00,16.54,1
428,2023-09-05 23:45:00,16.92,1
429,2023-09-06 00:00:00,16.23,1
430,2023-09-06 00:15:00,12.13,1
431,2023-09-06 00:30:00,12.14,1
432,2023-09-06 00:45:00,12.33,1
433,2023-09-06 01:00:00,9.61,1
434,2023-09-06 01:15:00,7.57,1
435,2023-09-06 01:30:00,7.6,1
436,2023-09-06 01:45:00,7.91,1
437,2023-09-06 02:00:00,7.83,1
438,2023-09-06 02:15:00,11.05,1
439,2023-09-06 02:30:00,10.99,1
440,2023-09-06 02:45:00,11.1,1
441,2023-09-06 03:00:00,11.13,1
442,2023-09-06 03:15:00,11.12,1
443,2023-09-06 03:30:00,11.05,1
444,2023-09-06 03:45:00,11.1,1
445,2023-09-06 04:00:00,11.27,1
446,2023-09-06 04:15:00,18.24,1
447,2023-09-06 04:30:00,18.11,1
448,2023-09-06 04:45:00,18.25,1
449,2023-09-06 05:00:00,18.48,1
450,2023-09-06 05:15:00,21.93,1
451,2023-09-06 05:30:00,21.93,1
452,2023-09-06 05:45:00,22.06,1
453,2023-09-06 06:00:00,21.99,1
454,2023-09-06 06:15:00,23.68,1
455,2023-09-06 06:30:00,23.71,1
456,2023-09-06 06:45:00,23.63,1
457,2023-09-06 07:00:00,24.03,1
458,2023-09-06 07:15:00,28.4,1
459,2023-09-06 07:30:00,28.63,1
460,2023-09-06 07:45:00,28.52,1
461,2023-09-06 08:00:00,29.49,1
462,2023-09-06 08:15:00,39.87,1
463,2023-09-06 08:30:00,40.98,1
464,2023-09-06 08:45:00,41.69,1
465,2023-09-06 09:00:00,41.74,1
466,2023-09-06 09:15:00,53.38,1
467,2023-09-06 09:30:00,54.29,1
468,2023-09-06 09:45:00,54.08,1
469,2023-09-06 10:00:00,53.95,1
470,2023-09-06 10:15:00,59.43,1
471,2023-09-06 10:30:00,59.54,1
472,2023-09-06 10:45:00,59.6,1
473,2023-09-06 11:00:00,59.72,1
474,2023-09-06 11:15:00,62.31,1
475,2023-09-06 11:30:00,61.49,1
476,2023-09-06 11:45:00,61.7,1
